gpu,label,S,Hkv,Hq,kv_mb,peak_mb,ms_tok,bw_gbs
NVIDIA A100-SXM4-80GB,MHA,256,8,8,0.52,9.06,0.517,1.06
NVIDIA A100-SXM4-80GB,MHA,512,8,8,1.05,10.11,0.07,15.62
NVIDIA A100-SXM4-80GB,MHA,1024,8,8,2.1,11.69,0.07,31.01
NVIDIA A100-SXM4-80GB,MHA,4096,8,8,8.39,19.06,0.07,124.93
NVIDIA A100-SXM4-80GB,MHA,8192,8,8,16.78,33.89,0.07,249.04
NVIDIA A100-SXM4-80GB,MHA,16384,8,8,33.55,59.25,0.07,499.47
NVIDIA A100-SXM4-80GB,MHA,32768,8,8,67.11,109.97,0.118,593.37
NVIDIA A100-SXM4-80GB,MHA,65536,8,8,134.22,211.42,0.213,655.67
NVIDIA A100-SXM4-80GB,MQA,256,1,8,0.07,8.6,0.067,8.2
NVIDIA A100-SXM4-80GB,MQA,512,1,8,0.13,8.73,0.071,15.28
NVIDIA A100-SXM4-80GB,MQA,1024,1,8,0.26,8.94,0.072,30.47
NVIDIA A100-SXM4-80GB,MQA,4096,1,8,1.05,9.88,0.072,121.82
NVIDIA A100-SXM4-80GB,MQA,8192,1,8,2.1,11.87,0.071,244.81
NVIDIA A100-SXM4-80GB,MQA,16384,1,8,4.19,15.21,0.073,478.31
NVIDIA A100-SXM4-80GB,MQA,32768,1,8,8.39,21.89,0.099,702.04
NVIDIA A100-SXM4-80GB,MQA,65536,1,8,16.78,35.26,0.184,758.48
NVIDIA A100-SXM4-80GB,GQA,256,4,8,0.26,9.32,0.066,8.24
NVIDIA A100-SXM4-80GB,GQA,512,4,8,0.52,10.37,0.069,15.84
NVIDIA A100-SXM4-80GB,GQA,1024,4,8,1.05,12.22,0.07,31.31
NVIDIA A100-SXM4-80GB,GQA,4096,4,8,4.19,22.2,0.071,122.24
NVIDIA A100-SXM4-80GB,GQA,8192,4,8,8.39,38.08,0.069,252.15
NVIDIA A100-SXM4-80GB,GQA,16384,4,8,16.78,67.64,0.07,500.97
NVIDIA A100-SXM4-80GB,GQA,32768,4,8,33.55,126.75,0.117,594.95
NVIDIA A100-SXM4-80GB,GQA,65536,4,8,67.11,244.98,0.205,680.62
