gpu,label,S,Hkv,Hq,kv_mb,peak_mb,ms_tok,bw_gbs
NVIDIA GeForce RTX 2060,MHA,256,8,8,0.52,9.06,0.134,4.09
NVIDIA GeForce RTX 2060,MHA,512,8,8,1.05,10.11,0.06,18.11
NVIDIA GeForce RTX 2060,MHA,1024,8,8,2.1,11.69,0.061,35.84
NVIDIA GeForce RTX 2060,MHA,4096,8,8,8.39,19.06,0.084,103.26
NVIDIA GeForce RTX 2060,MHA,8192,8,8,16.78,33.89,0.16,109.0
NVIDIA GeForce RTX 2060,MQA,256,1,8,0.07,8.6,0.064,8.53
NVIDIA GeForce RTX 2060,MQA,512,1,8,0.13,8.73,0.064,17.07
NVIDIA GeForce RTX 2060,MQA,1024,1,8,0.26,8.94,0.064,34.26
NVIDIA GeForce RTX 2060,MQA,4096,1,8,1.05,9.88,0.081,108.07
NVIDIA GeForce RTX 2060,MQA,8192,1,8,2.1,11.87,0.156,111.55
NVIDIA GeForce RTX 2060,GQA,256,4,8,0.26,9.32,0.06,9.06
NVIDIA GeForce RTX 2060,GQA,512,4,8,0.52,10.37,0.059,18.45
NVIDIA GeForce RTX 2060,GQA,1024,4,8,1.05,12.22,0.059,36.93
NVIDIA GeForce RTX 2060,GQA,4096,4,8,4.19,22.2,0.082,105.77
NVIDIA GeForce RTX 2060,GQA,8192,4,8,8.39,38.08,0.164,106.25
