gpu,label,S,Hkv,Hq,kv_mb,peak_mb,ms_tok,bw_gbs
NVIDIA H100 80GB HBM3,MHA,256,8,8,0.52,34.1,0.277,1.98
NVIDIA H100 80GB HBM3,MHA,512,8,8,1.05,35.14,0.038,28.45
NVIDIA H100 80GB HBM3,MHA,1024,8,8,2.1,36.73,0.038,57.24
NVIDIA H100 80GB HBM3,MHA,4096,8,8,8.39,44.09,0.038,226.9
NVIDIA H100 80GB HBM3,MHA,8192,8,8,16.78,58.92,0.048,360.69
NVIDIA H100 80GB HBM3,MHA,16384,8,8,33.55,84.28,0.059,591.6
NVIDIA H100 80GB HBM3,MHA,32768,8,8,67.11,135.01,0.083,837.44
NVIDIA H100 80GB HBM3,MHA,65536,8,8,134.22,236.46,0.15,932.32
NVIDIA H100 80GB HBM3,MQA,256,1,8,0.07,33.64,0.038,14.44
NVIDIA H100 80GB HBM3,MQA,512,1,8,0.13,33.77,0.038,28.93
NVIDIA H100 80GB HBM3,MQA,1024,1,8,0.26,33.98,0.038,57.92
NVIDIA H100 80GB HBM3,MQA,4096,1,8,1.05,34.92,0.038,230.86
NVIDIA H100 80GB HBM3,MQA,8192,1,8,2.1,36.9,0.038,462.98
NVIDIA H100 80GB HBM3,MQA,16384,1,8,4.19,40.24,0.042,827.87
NVIDIA H100 80GB HBM3,MQA,32768,1,8,8.39,46.93,0.07,991.58
NVIDIA H100 80GB HBM3,MQA,65536,1,8,16.78,60.3,0.119,1167.88
NVIDIA H100 80GB HBM3,GQA,256,4,8,0.26,34.36,0.047,11.61
NVIDIA H100 80GB HBM3,GQA,512,4,8,0.52,35.4,0.038,28.8
NVIDIA H100 80GB HBM3,GQA,1024,4,8,1.05,37.25,0.038,57.95
NVIDIA H100 80GB HBM3,GQA,4096,4,8,4.19,47.24,0.037,236.05
NVIDIA H100 80GB HBM3,GQA,8192,4,8,8.39,63.11,0.037,473.12
NVIDIA H100 80GB HBM3,GQA,16384,4,8,16.78,92.67,0.041,842.84
NVIDIA H100 80GB HBM3,GQA,32768,4,8,33.55,151.78,0.075,934.83
NVIDIA H100 80GB HBM3,GQA,65536,4,8,67.11,270.01,0.13,1071.02
