gpu,label,S,Hkv,Hq,kv_mb,peak_mb,ms_tok,bw_gbs
NVIDIA H100 PCIe,MHA,256,8,8,0.52,34.1,0.359,1.52
NVIDIA H100 PCIe,MHA,512,8,8,1.05,35.14,0.068,15.96
NVIDIA H100 PCIe,MHA,1024,8,8,2.1,36.73,0.068,31.94
NVIDIA H100 PCIe,MHA,4096,8,8,8.39,44.09,0.07,125.19
NVIDIA H100 PCIe,MHA,8192,8,8,16.78,58.92,0.071,246.38
NVIDIA H100 PCIe,MHA,16384,8,8,33.55,84.28,0.077,450.99
NVIDIA H100 PCIe,MHA,32768,8,8,67.11,135.01,0.106,657.94
NVIDIA H100 PCIe,MHA,65536,8,8,134.22,236.46,0.199,700.28
NVIDIA H100 PCIe,MQA,256,1,8,0.07,33.64,0.067,8.18
NVIDIA H100 PCIe,MQA,512,1,8,0.13,33.77,0.066,16.42
NVIDIA H100 PCIe,MQA,1024,1,8,0.26,33.98,0.067,32.71
NVIDIA H100 PCIe,MQA,4096,1,8,1.05,34.92,0.068,128.99
NVIDIA H100 PCIe,MQA,8192,1,8,2.1,36.9,0.067,260.98
NVIDIA H100 PCIe,MQA,16384,1,8,4.19,40.24,0.069,505.87
NVIDIA H100 PCIe,MQA,32768,1,8,8.39,46.93,0.077,905.97
NVIDIA H100 PCIe,MQA,65536,1,8,16.78,60.3,0.133,1046.1
NVIDIA H100 PCIe,GQA,256,4,8,0.26,34.36,0.065,8.41
NVIDIA H100 PCIe,GQA,512,4,8,0.52,35.4,0.064,16.98
NVIDIA H100 PCIe,GQA,1024,4,8,1.05,37.25,0.065,33.8
NVIDIA H100 PCIe,GQA,4096,4,8,4.19,47.24,0.065,134.32
NVIDIA H100 PCIe,GQA,8192,4,8,8.39,63.11,0.065,268.2
NVIDIA H100 PCIe,GQA,16384,4,8,16.78,92.67,0.066,525.98
NVIDIA H100 PCIe,GQA,32768,4,8,33.55,151.78,0.089,781.83
NVIDIA H100 PCIe,GQA,65536,4,8,67.11,270.01,0.158,884.96
